variable,best_alg,best_ratio,best_size,best_level
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.4227358671539883,89114305.0,22
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.4227358671539883,89114305.0,22
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.4227358671539883,89114305.0,22
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.4227358671539883,89114305.0,22
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.4227358671539883,89114305.0,22
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.4227358671539883,89114305.0,22
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.4227358671539883,89114305.0,22
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.4227358671539883,89114305.0,22
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.4227358671539883,89114305.0,22
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.4227358671539883,89114305.0,22
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.4227358671539883,89114305.0,22
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.4227358671539883,89114305.0,22
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.4227358671539883,89114305.0,22
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.4227358671539883,89114305.0,22
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.4227358671539883,89114305.0,22
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.6044242362718188,79022814.0,20
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.4227358671539883,89114305.0,22
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
FLNS,zfp,1.8393114453937278,68931294.0,18
