set,time,ssim_fp
bg_2_FLNS,0,0.9853358319888276
bg_3_FLNS,0,0.9990293329711476
bg_4_FLNS,0,0.9998551626471828
bg_5_FLNS,0,0.9999880947640617
bg_6_FLNS,0,1.0
bg_7_FLNS,0,1.0
bg_2_FLNS,1,0.9874477420058111
bg_3_FLNS,1,0.9992231217671137
bg_4_FLNS,1,0.9999039938667372
bg_5_FLNS,1,0.9999855162337425
bg_6_FLNS,1,0.9999998788031612
bg_7_FLNS,1,1.0
bg_2_FLNS,2,0.9876055632985754
bg_3_FLNS,2,0.9991928551884866
bg_4_FLNS,2,0.9999004011495465
bg_5_FLNS,2,0.9999859326319392
bg_6_FLNS,2,0.9999980519040769
bg_7_FLNS,2,1.0
bg_2_FLNS,3,0.9869077042100416
bg_3_FLNS,3,0.9991195531488734
bg_4_FLNS,3,0.999897939542159
bg_5_FLNS,3,0.9999904615950573
bg_6_FLNS,3,0.9999996441337404
bg_7_FLNS,3,1.0
bg_2_FLNS,4,0.987753975045474
bg_3_FLNS,4,0.9991790551063661
bg_4_FLNS,4,0.999893420782842
bg_5_FLNS,4,0.9999882445717784
bg_6_FLNS,4,0.9999988635135263
bg_7_FLNS,4,1.0
bg_2_FLNS,5,0.9883477785991371
bg_3_FLNS,5,0.9993011143134901
bg_4_FLNS,5,0.9999238928225666
bg_5_FLNS,5,0.9999844515907673
bg_6_FLNS,5,0.9999982295174239
bg_7_FLNS,5,1.0
bg_2_FLNS,6,0.9873765085402422
bg_3_FLNS,6,0.9991605853303209
bg_4_FLNS,6,0.9998904856200137
bg_5_FLNS,6,0.9999850208849999
bg_6_FLNS,6,0.9999986916059498
bg_7_FLNS,6,1.0
bg_2_FLNS,7,0.9880645296320193
bg_3_FLNS,7,0.99920648710678
bg_4_FLNS,7,0.999889901225209
bg_5_FLNS,7,0.999994998332473
bg_6_FLNS,7,0.9999998863301474
bg_7_FLNS,7,1.0
bg_2_FLNS,8,0.9879668965097729
bg_3_FLNS,8,0.9992629759202917
bg_4_FLNS,8,0.9998984467951176
bg_5_FLNS,8,0.9999885937188653
bg_6_FLNS,8,0.9999992633247957
bg_7_FLNS,8,1.0
bg_2_FLNS,9,0.9876858456476051
bg_3_FLNS,9,0.9992357682789667
bg_4_FLNS,9,0.999889985037801
bg_5_FLNS,9,0.9999926781973749
bg_6_FLNS,9,0.9999984770439038
bg_7_FLNS,9,1.0
bg_2_FLNS,10,0.9849971358025141
bg_3_FLNS,10,0.9993301902667487
bg_4_FLNS,10,0.9998980113433575
bg_5_FLNS,10,0.999987863892937
bg_6_FLNS,10,0.9999985357990919
bg_7_FLNS,10,1.0
bg_2_FLNS,11,0.9856574349817779
bg_3_FLNS,11,0.9990139016892171
bg_4_FLNS,11,0.9999167802768743
bg_5_FLNS,11,0.9999845671284151
bg_6_FLNS,11,0.999999629497679
bg_7_FLNS,11,1.0
bg_2_FLNS,12,0.9871411695584149
bg_3_FLNS,12,0.9992123865101812
bg_4_FLNS,12,0.9998991905884573
bg_5_FLNS,12,0.9999902851264885
bg_6_FLNS,12,0.9999980101227212
bg_7_FLNS,12,1.0
bg_2_FLNS,13,0.9886360032909819
bg_3_FLNS,13,0.9993484671948369
bg_4_FLNS,13,0.999906471260161
bg_5_FLNS,13,0.9999865575250241
bg_6_FLNS,13,0.9999999635904373
bg_7_FLNS,13,1.0
bg_2_FLNS,14,0.9865130274835205
bg_3_FLNS,14,0.9992811776720526
bg_4_FLNS,14,0.9999043640834002
bg_5_FLNS,14,0.9999895551544241
bg_6_FLNS,14,0.9999997103968877
bg_7_FLNS,14,1.0
bg_2_FLNS,15,0.9875255411533885
bg_3_FLNS,15,0.9991779992432279
bg_4_FLNS,15,0.9998654445626483
bg_5_FLNS,15,0.9999911895942706
bg_6_FLNS,15,1.0
bg_7_FLNS,15,1.0
bg_2_FLNS,16,0.9889231127116713
bg_3_FLNS,16,0.9992961239934395
bg_4_FLNS,16,0.9999215415280143
bg_5_FLNS,16,0.9999829365296747
bg_6_FLNS,16,0.9999999748689054
bg_7_FLNS,16,1.0
bg_2_FLNS,17,0.98797464594452
bg_3_FLNS,17,0.9992542823266796
bg_4_FLNS,17,0.9998987679383714
bg_5_FLNS,17,0.9999864772666532
bg_6_FLNS,17,0.9999987816306636
bg_7_FLNS,17,1.0
bg_2_FLNS,18,0.9873737848367632
bg_3_FLNS,18,0.9991678094071758
bg_4_FLNS,18,0.9999049587238991
bg_5_FLNS,18,0.9999841910426802
bg_6_FLNS,18,0.9999983762662176
bg_7_FLNS,18,1.0
bg_2_FLNS,19,0.9865741167545852
bg_3_FLNS,19,0.9992389650122856
bg_4_FLNS,19,0.9999091357447375
bg_5_FLNS,19,0.9999828852187513
bg_6_FLNS,19,0.9999940418577901
bg_7_FLNS,19,1.0
bg_2_FLNS,20,0.9876105293685468
bg_3_FLNS,20,0.999199402672452
bg_4_FLNS,20,0.999908676614546
bg_5_FLNS,20,0.9999880289410447
bg_6_FLNS,20,0.9999987695650783
bg_7_FLNS,20,1.0
bg_2_FLNS,21,0.9868910239653123
bg_3_FLNS,21,0.9992265601860114
bg_4_FLNS,21,0.9999209728680778
bg_5_FLNS,21,0.9999940544965047
bg_6_FLNS,21,0.9999992065060642
bg_7_FLNS,21,1.0
bg_2_FLNS,22,0.9853443036969434
bg_3_FLNS,22,0.9990539549886409
bg_4_FLNS,22,0.9998892106436648
bg_5_FLNS,22,0.9999862770267491
bg_6_FLNS,22,0.9999965216423196
bg_7_FLNS,22,1.0
bg_2_FLNS,23,0.9869638671181162
bg_3_FLNS,23,0.99909480106499
bg_4_FLNS,23,0.9999074395219055
bg_5_FLNS,23,0.9999784842567396
bg_6_FLNS,23,0.9999997325718437
bg_7_FLNS,23,1.0
bg_2_FLNS,24,0.987184174625752
bg_3_FLNS,24,0.9992110038546815
bg_4_FLNS,24,0.9998662186164186
bg_5_FLNS,24,0.9999803354050391
bg_6_FLNS,24,0.9999996065199377
bg_7_FLNS,24,1.0
bg_2_FLNS,25,0.9861992025084195
bg_3_FLNS,25,0.9989695065193965
bg_4_FLNS,25,0.9998900584667484
bg_5_FLNS,25,0.9999905097891628
bg_6_FLNS,25,1.0
bg_7_FLNS,25,1.0
bg_2_FLNS,26,0.9869531211462721
bg_3_FLNS,26,0.9991971574808428
bg_4_FLNS,26,0.9999025665982837
bg_5_FLNS,26,0.9999828387278994
bg_6_FLNS,26,0.999999525148532
bg_7_FLNS,26,1.0
bg_2_FLNS,27,0.9861410328309577
bg_3_FLNS,27,0.9991970390594521
bg_4_FLNS,27,0.999874018704515
bg_5_FLNS,27,0.9999796449934882
bg_6_FLNS,27,0.9999992896244111
bg_7_FLNS,27,1.0
bg_2_FLNS,28,0.9868243558080628
bg_3_FLNS,28,0.9991581585183049
bg_4_FLNS,28,0.9999096057165393
bg_5_FLNS,28,0.9999803203110605
bg_6_FLNS,28,0.9999996983490889
bg_7_FLNS,28,1.0
bg_2_FLNS,29,0.9879865872814253
bg_3_FLNS,29,0.9993147754831075
bg_4_FLNS,29,0.9999143260579518
bg_5_FLNS,29,0.9999877146819844
bg_6_FLNS,29,0.9999991829682144
bg_7_FLNS,29,1.0
bg_2_FLNS,30,0.9872681649657236
bg_3_FLNS,30,0.9992111106121057
bg_4_FLNS,30,0.9999222407765123
bg_5_FLNS,30,0.9999949394785862
bg_6_FLNS,30,1.0
bg_7_FLNS,30,1.0
bg_2_FLNS,31,0.9882474530987333
bg_3_FLNS,31,0.9992765423675356
bg_4_FLNS,31,0.9999084318608028
bg_5_FLNS,31,0.9999848521407585
bg_6_FLNS,31,0.9999953985423575
bg_7_FLNS,31,1.0
bg_2_FLNS,32,0.9874199407763188
bg_3_FLNS,32,0.999249054697546
bg_4_FLNS,32,0.9999159712723282
bg_5_FLNS,32,0.9999848887373588
bg_6_FLNS,32,0.9999985193905373
bg_7_FLNS,32,1.0
bg_2_FLNS,33,0.9871358898212903
bg_3_FLNS,33,0.9991992766456824
bg_4_FLNS,33,0.9998915188018198
bg_5_FLNS,33,0.9999935979698643
bg_6_FLNS,33,0.9999995473590856
bg_7_FLNS,33,1.0
bg_2_FLNS,34,0.9874264466642979
bg_3_FLNS,34,0.9992450038611941
bg_4_FLNS,34,0.9998994296452816
bg_5_FLNS,34,0.9999914298363556
bg_6_FLNS,34,0.9999984743460343
bg_7_FLNS,34,1.0
bg_2_FLNS,35,0.988107636790893
bg_3_FLNS,35,0.9992950824530041
bg_4_FLNS,35,0.9999035623167785
bg_5_FLNS,35,0.9999882892109773
bg_6_FLNS,35,0.9999986270450282
bg_7_FLNS,35,1.0
bg_2_FLNS,36,0.9875738051537102
bg_3_FLNS,36,0.9991630818702592
bg_4_FLNS,36,0.9999015647612042
bg_5_FLNS,36,0.9999928547275934
bg_6_FLNS,36,0.999998903182416
bg_7_FLNS,36,1.0
bg_2_FLNS,37,0.9875784365010885
bg_3_FLNS,37,0.9990814550392894
bg_4_FLNS,37,0.9998853714566415
bg_5_FLNS,37,0.9999816482684893
bg_6_FLNS,37,0.9999994447365547
bg_7_FLNS,37,1.0
bg_2_FLNS,38,0.9869145474999935
bg_3_FLNS,38,0.9992107716536632
bg_4_FLNS,38,0.9999134645672169
bg_5_FLNS,38,0.9999873770041756
bg_6_FLNS,38,0.9999998041162492
bg_7_FLNS,38,1.0
bg_2_FLNS,39,0.986911412863234
bg_3_FLNS,39,0.9990954386854797
bg_4_FLNS,39,0.999896251479366
bg_5_FLNS,39,0.9999840317438511
bg_6_FLNS,39,0.9999922103882402
bg_7_FLNS,39,1.0
bg_2_FLNS,40,0.9875228998881206
bg_3_FLNS,40,0.9991832434832043
bg_4_FLNS,40,0.9998938784842117
bg_5_FLNS,40,0.9999859972719295
bg_6_FLNS,40,0.9999969949799287
bg_7_FLNS,40,1.0
bg_2_FLNS,41,0.9874025257872157
bg_3_FLNS,41,0.9991977473312343
bg_4_FLNS,41,0.9998959627067388
bg_5_FLNS,41,0.9999903108480579
bg_6_FLNS,41,0.9999998335392336
bg_7_FLNS,41,1.0
bg_2_FLNS,42,0.988011975049565
bg_3_FLNS,42,0.9992111454937154
bg_4_FLNS,42,0.9999186195309083
bg_5_FLNS,42,0.9999908950433798
bg_6_FLNS,42,1.0
bg_7_FLNS,42,1.0
bg_2_FLNS,43,0.9872878610876528
bg_3_FLNS,43,0.9992660804594472
bg_4_FLNS,43,0.9999136606878187
bg_5_FLNS,43,0.9999898622220894
bg_6_FLNS,43,0.9999992269043148
bg_7_FLNS,43,1.0
bg_2_FLNS,44,0.9879104574405274
bg_3_FLNS,44,0.9992405364819333
