variable,best_alg,best_ratio,best_size,best_level
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,1.819439054,71558110,18
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,1.819439054,71558110,18
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,1.819439054,71558110,18
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,bg,1.960780806,66399885,3
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,1.819439054,71558110,18
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,bg,1.960780806,66399885,3
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.534143674,51376574,14
bc_a1_SRF,zfp,2.118152883,61466583,16
bc_a1_SRF,zfp,2.534143674,51376574,14
